id,p_num,title,abst
64,CN2011-10448700,Automatic experimental device and method for reliability growth test of embedded software,"The invention provides an automatic experimental device and an automatic experimental method for the reliability growth test of embedded software. An automatic test platform of the device is connected with embedded test software through a recommended standard (RS) 422 serial port wire and crossed network wires; the automatic test platform issues a defect configuration file, converts and analyzes test cases, and collects test output and operation information; and with the embedded test software, the injection of defects and information acquisition in the operation process of the software are realized. The method comprises the following steps of: injecting the defects by using the defect configuration file; converting and analyzing the test cases by using the automatic test platform, and thus obtaining test input excitation and test auxiliary information; controlling the embedded test software to operate; and collecting the test output and operation information, and automatically eliminating the defects when the defects are discovered to realize a reliability growth test process. By the invention, the automatic experiment for the reliability growth test of the embedded software is realized, test time is greatly shortened, and the energy of a tester is greatly reduced, so that test data which is required by a research can be more easily collected."
65,CN2011-10315100,Component software reliability analysis method capable of considering limitation of debugging resources based on HFSQM (Hybrid Finite Server Queuing Model),"The invention discloses a component software reliability analysis method capable of considering limitation of debugging resources based on an HFSQM (Hybrid Finite Server Queuing Model), which relates to software reliability analysis methods, and overcomes the defects that infinite debugging resources are impossible in practical application and the newly detected failures have to wait in a queue when all the debugging staffs are busy. The method is realized by the following three steps of: resource allocation, failure detection and failure recovery. The resource allocation step is to allocate appropriate resources for the failures waiting for the debugging resources in the HFSQM; the failure detection process is used for executing an integration test on the entire application based on an operating profile of the component software application; and the failure recovery process is used for recovering the failures occupying the debugging resources in the HFSQM. Thus, a basis for software release and rational configuration of test resources is provided, the software can be punctually released on schedule, user demands on the reliability can be satisfied, and the total cost of the software is lowered. So, an HFSQM-based simulation method has important directive significance for component software tests and further for software marketing decisions."
66,CN2011-10312113,Component software reliability analysis method based on improved additive model,"The invention discloses a component software reliability analysis method based on an improved additive model, relating to software reliability analysis methods. When a unified framework based on a system structure model is built, the problem of the additive model is that the additive model has no regard for the system structure and execution features of component software application. The additive model solves an application system structure model without using a white-box analysis method, and realizes modeling for the service condition of the component in an application execution process. For the component processed by unit testing, the following steps are executed: defining the service condition of the component in a pi i modeling integration test, wherein the pi i refers to the execution time proportion of a component ci in the steady state of a component software system; when the execution time of the component software system is t, expressing the accumulated execution time of the component ci as ti=pi i t; so, expressing the number of failures of the component software system as Formula until the time t; expressing the failure speed of the component software system at the time t as Formula; and improving the component software system aiming at the currently raised problems of the additive model."
67,CN2011-10286527,Method for monitoring safety of application software and device therefor,The embodiment of the invention discloses a method for monitoring the safety of application software and a device for monitoring the safety of the application software. The method comprises the steps of: monitoring and collecting a security message related to application software in user equipment; estimating the collected security message; and transmitting corresponding reminding notification to a user according to an estimating result of the security message. The invention is applied to monitoring the safety of the application software in all terminal equipment which can be networked.
68,CN2011-10314538,Software reliability accelerated test and evaluation method and computer-aided tool used in same,"The invention provides a software reliability accelerated test and evaluation method based on a deformed operational profile as well as a computer-aided tool used in the same, and belongs to the field of software reliability engineering. In the method, the deformed operational profile is constructed, and then software reliability growth and verification accelerated test and evaluation are carried out on tested software based on the profile. By using the tool, a traditional operational profile is constructed by a traditional operational profile construction module, the deformed operational profile is further constructed by a deformed operational profile construction module, a reliability verification accelerated test module and a reliability growth accelerated test module are executed according to selection of a user, and cases in test are generated by an automatic test case generation module. By adopting the software reliability accelerated test and evaluation method provided by the invention, unbiased estimation of reliability parameters between the deformed operational profile and the traditional Musa operational profile is realized and the test efficiency is better; and compared with the traditional test method, the method has the advantages of short test time and accurate test result, thus facilitating understanding and practical operation of engineering personnel."
69,CN2011-10315118,Method for analyzing reliability of component software considering failure recovery process based on HISQM (Hybrid Infinite Server Queue Module),"The invention relates to a method for analyzing reliability of component software considering a failure recovery process based on an HISQM (Hybrid Infinite Server Queue Module), which relates to a method for analyzing the reliability of software and overcomes the defect that in a traditional module and method based on an architecture, only a failure detection process is considered, while the failure recovery process is ignored. Based on a queuing theory, the HISQM is used for modeling the failure recovery process in a component software integration test. The component software integration test process comprises the failure detection process and the failure recovery process. A debugging strategy of the integration test combines the two random processes. The HISQM is formed by a plurality of independent ISQ (Infinite Server Queue) systems, and each ISQ system is used for describing a recovery behavior of component failure distributed to the system according to the debugging strategy. An arrival process and a leaving process of the HISQM are analyzed to be respectively corresponding to the failure detection process and the failure recovery process in the component software integration test. An NHPP (Non-Homogeneous Poisson Process) software reliability growth module is used for modeling the failure detection process of the component software."
70,CN2011-10108130,Mobile terminal software package safety detection method and system thereof,The invention provides a mobile terminal software package safety detection method. The method comprises the following steps: acquiring a sole identifier of a software package in a mobile terminal; acquiring relative information of the software package according to the sole identifier of the software package; and querying and determining the safety type of the software package in a preset software information integrated database according to the sole identifier and the relative information of the software package. The invention also provides a mobile terminal software package safety detection system for realizing the method. The mobile terminal software package safety detection method and the system thereof can classify the safety type of the software package in the mobile terminal.
71,CN2009-10213943,Method and device for finding compatibility problem among safety software,"The invention discloses a method and a device for finding the compatibility problem among safety software. The method comprises the following steps of: counting a sensitive character string and/or a sensitive application program interface (API) list of the compatibility problem among the safety software according to experience data; and then performing characteristic information scanning on a large batch of files according to the characteristic character string sampling theory, extracting an API and/or a character string in the files, and filtering off the character string of the sensitive character string and/or the API of the sensitive API which has the compatibility problem among the safety software so as to acquire the corresponding safety software possibly having the compatibility problem according to the relevant information of the files."
72,CN2010-10602453,Gray generalized regression neural network-based small sample software reliability prediction method,"The invention discloses a gray generalized regression neural network-based small sample software reliability prediction method. The method comprises the following steps of: first, respectively emulating and expanding failure time data and test coverage rate data in collected small sample software reliability test data by using an improved Bootstrap method to form expanded reliability data which has the same failure statistical rule as small sample reliability data; then, obtaining a three-dimensional curve of the failure time, the test coverage rate and the unreliability of the expanded reliability data; next, establishing a gray generalized regression neural network; later on, training the gray generalized regression neural network by adopting the expanded reliability data and establishing a small sample software reliability prediction model; and finally, predicting by using the model to obtain software reliability prediction information. The method avoids solving a complex multivariate likelihood equation, and solves the problem that an available prediction model can be obtained only by training a large number of models in artificial neural network modeling in software reliability prediction."
73,CN2011-10006751,Software reliability assessment method and device based on hybrid testing,"The invention discloses a reliability assessment method and device based on hybrid testing, belonging to the field of software reliability engineering. The method comprises the steps of: obtaining a defect failure rate distribution function and a density function through determining defect failure rate distribution of tested software; determining the density function of an order defect failure rate, an order defect failure rate expected value and a software failure rate expected value according to the order statistics; and hybrid-testing the tested software, and determining a distribution parameter according to a hybrid test result data. The invention overcomes the defects of more testing examples, neglecting of internal information, long testing time, large resource consumption and the like of the traditional reliability test by fully utilizing and combining the advantages of run tests and pertinence tests, thereby shortening the time of the software reliability tests, increasing the software defect exposing speed and the progress of the software reliability tests, and greatly reducing the test cost and the resource consumption."
74,CN2010-10195226,General data-driven reliability model for software and system and parameter optimizing method,
75,CN2009-10235369,Software running method of high-safety information network platform,
76,CN2010-10576310,"Digital development environment-oriented software integration method with reliability, maintainability and supportability","A digital development environment-oriented software integration method with reliability, maintainability and supportability comprises the following steps: 1) RMS (reliability maintenance supportability)-CAD (computer-aided design) software integration requirements are determined according to the situation of an enterprise; 2) an RMS data mapping table is established according to the RMS-CAD software integration requirements; 3) a PDM (pulse duration modulation) system is customized on the basis of the RMS data adaptive mapping table; 4) aiming at the characteristics of the PDM system, a PDM adaptive component for the RMS-CAD software integration is developed; 5) according to the characteristics of the RMS-CAD software, an RMS-CAD adaptive component for the RMS-CAD software integration is developed; 6) an adaptive environment is built between the RMS-CAD software and the PDM system, the PDM adaptive component and the RMS-CAD adaptive component are arranged; and 7) the RMS-CAD software adaptation and compatibility test are performed in the adaptive environment on the basis of the RMS-CAD adaptive component and the PDM adaptive component. By adopting the method in the invention, the RMS-CAD software is integrated in the PDM system and the data sharing and process collaboration with RMS and performance can be realized. In addition, the method supports the cross-platform integration of the RMS-CAD software and various PDM systems and the method has better configurability and usability."
77,CN2009-10235370,Software running method of high-safety information system,"The invention provides a software running method of a high-safety information system. The high-safety information system comprises an information processing component, a control component and a storage component, wherein the control component comprises a hardware switch; at least one control signal wire for the information processing component to carry out the writing operation on the second storage component is connected with the second storage component through the control component; when the hardware is positioned in a first state, the control component cuts off the connection between the control signal and the second storage component through the signal wire; when the control component is in a second state, the control component maintains the connection between the control signal and the second storage component through the signal wire and runs the software step of judging whether the hardware switch is in the first state or not and operating the hardware switch to be in the first state when the hardware switch is not in the first state; and the information processing component reads partial or all codes of the software program from the second storage component, stores the partial or all codes in a storage space of the information processing component and runs the partial or all codes."
78,CN2010-10587899,Method for generating reliability test data of real time embedded software,"The invention discloses a method for generating the reliability test data of real time embedded software, belonging to the field of software reliability. The method comprises the following steps of analyzing interfaces and relative environments of tested real-time embedded software and hardware of the tested real-time embedded software, sorting out input and output variables, and establishing a system analysis chart; establishing use types of the input and output variables; establishing use profiles and operation description graphs according to the use condition of a tested system; organizing data and randomly sampling according to the information of the established use profiles and operation description graphs, and then generating software reliability test data. The method of the invention clearly describes the use process and the use input distribution of the software, can more efficiently and automatically generate the software reliability test data, and improves the efficiency of the software reliability test."
79,CN2010-10582878,Method for analyzing safety property of software based on sequence clustering,"The invention relates to a method for analyzing the safety property of software based on sequence clustering. Based on reverse software bug analysis technology, the quality of a bug knowledge base and the analysis efficiency of software bugs are improved by collecting the conventional software bugs, preprocessing the software bugs, saving a processed software bug program operation sequence in a software bug sequence database, classifying the software sequences in the software bug sequence database by an integral sequence similarity-based clustering algorithm and saving the classified sequences in the bug knowledge base; and the accuracy of the software bug detection is improved by analyzing a suspected software bug sequence extracted from to-be-detected software, measuring similarity level between the sequences by using the logic distance-based similarity measurement and analyzing the software bug."
80,CN2010-10565502,Method for controlling safety of application software and terminal,"The invention provides a method for controlling the safety of application software and a terminal. The method comprises the steps of: obtaining security policy information of the application software by an executing engine through a security policy engine, and using the security policy information as static security policy information of the application software; registering dynamic security policy information to the executing engine by the application software; generating new security policy information by the executing engine according to the static security policy information and the dynamic security policy information, wherein the declaration in the new security policy information is controlled resources accessed by the application software in the declarations of the static security policy information and the dynamic security policy information; and based on the new security policy information, processing an access request of the application software by the executing engine. The invention combines the security control of an operating system layer with the security control of an application layer to realize the security control of the application software, thereby improving the security control capability and the operatable and manageable capability, and having high security and good expansibility."
81,CN2010-10516149,Method for extracting requirements and describing behaviors during software safety test based on profile division,"The invention discloses a method for extracting requirements and describing behaviors during a software safety test based on profile division. The method comprises the following four steps of: firstly, creating a unified modeling language (UML) use case diagram and a UML activity diagram; secondly, extracting safety functional requirements from the UML use case diagram and the UML activity diagram; thirdly, creating a software safety timing sequence activity diagram; and fourthly, creating a software test use case. By the method for extracting the requirements and describing the behaviors during the software safety test based on the profile division, software is analyzed in two levels of the UML use case diagram and the UML activity diagram, and the safety functional test requirements are extracted and expressed by a formalized method which is simple and clear; and even the specific safety requirements are not extracted from the software, testers can propose the complete, normalized and effective safety functional test requirements through normalized classified tabulation."
82,CN2010-10195358,Embedded software reliability accelerated test method,"The invention discloses an embedded software reliability accelerated test method, which comprises the following steps of: by establishing a software task profile, randomly extracting and generating a software task sequence as applied complete and valid test input in actual reliability test; and in the test process, counting and collecting task characteristics and task statuses, entering a control process after the test process is stable, applying a test strategy and finally performing engineering assessment on software reliability. In the method, the test strategy in the control process fulfills the aim of rationally, highly efficiently and acceleratedly testing the reliability, and expands the concept in the embedded software reliability test; the software task sequence generated based on the software task profile can satisfy the description and coverage of complex input conditions and ensures the credibility of reliability test data; and the assessment method is independent of the superposed mathematical distribution of failure data, and is applied to the reliability assessment, without overhigh requirement on accuracy, on embedded software."
83,CN2010-10034240,Software-hardware synergism fault tolerant system used for improving reliability,"The invention relates to a software-hardware synergism fault tolerant system used for improving reliability, belonging to the field of an embedded high-reliability system. The invention is characterized in that the software-hardware synergism fault tolerant system comprises a storage, a processor, an intraconnection network, a hardware accelerating module and a control and test module of the hardware accelerating module, wherein the processor is used for controlling the control and test module of the hardware accelerating module by the intraconnection network; the testing for a test vector is carried out on the hardware accelerating module to be tested corresponding to a software module stored in the processor; and a control module is used for data processing for the corresponding hardware accelerating module after the testing is effective. If the corresponding hardware accelerating module to be tested has problems, the processor is connected with the storage again by the intraconnection network to complete the operation of the software module by the pre-stored software command. The invention can lower the expense on the hardware resources of the fault tolerant system and can realize the built-in self-testing (BIST) of the hardware under the control of the software and realize the combination of the testing and the fault tolerance mechanism."
84,CN2010-10117982,Method for analyzing software reliability and system thereof,"The embodiment of the invention discloses a method for analyzing software reliability and a system thereof capable of analyzing the reliability of software effectively. The method comprises the following steps: obtaining and screening the number of defects during the software test period; fitting the screened defects in chronological order to obtain a fitting result; performing a trend analysis on the obtained fitting result, obtaining the failure frequency of the software under the test condition."
85,CN2009-10242716,Method and system for detecting software reliability,"The invention discloses a method and a system for detecting software reliability. The method comprises the following steps of: (1) selecting special software process evaluation indexes and software reliable evaluation indexes according to characteristics of software; (2) acquiring software process actual data according to the selected software process evaluation indexes; 3) establishing a mapping model between the software process data and software reliable data, providing software reliability degree data, training the model by using the data in a history item, acquiring corresponding weight coefficients in an error-satisfied set range, inputting the acquired software process actual data into the model, and calculating the software reliability degree; and 4) obtaining the software reliability according to the standard software reliability degree. By using the method, the reliability level of the software can be detected according to the actual data in the software development process to grasp the defects of the software in advance, ensure the reliability of the software and achieve the aim of nipping in the bud."
86,CN2009-10235367,Software installation method of high safety information network platform,"The invention provides a software installation method of a high safety information network platform. The high safety information network platform comprises a first information processing part, a second information processing part, a control part and a second storage part, wherein the first information processing part and the second information processing part can be connected to access the second storage part respectively only through the control part, and the control part comprises a hardware switch. The software installation method comprises the following steps of: enabling the high safety information network platform to be in a normal operation state; operating the hardware switch to enable the hardware switch to be in a second state, and selecting the first information processing part by the control part to be in connection access with the second storage part through the control part; installing software needed to be installed on the second storage part by the first information processing part; and operating the hardware switch to enable the hardware switch to be in a first state."
87,CN2009-10235368,Software installation method of high safety information system,"The invention provides a software installation method of a high safety information system. The high safety information system comprises an information processing part, a control part and a second storage part, wherein the control part comprises a hardware switch, and at least one control signal line of the information processing part, used for carrying out writing operation on the second storage part, is connected with the second storage part through the control part; when the hardware switch is in a first state, the control part cuts off connection of control signals and a signal line of the second storage part; and when the hardware switch is in a second state, the control part keeps the connection of the control signals and the signal line of the second storage part. The software installation method comprises the following steps of: enabling the system to be in a normal operation state; operating the hardware switch to enable the hardware switch to be in the second state; installing software needed to be installed on the second storage part by the information processing part; and operating the hardware switch to enable the hardware switch to be in the first state, and cutting off the connection of the control signals and the signal line of the second storage part by the control part."
88,CN2009-10216239,Comprehensive processing method based on software safety defect detection and functional module framework thereof,"The invention provides a method based on software safety defect detection and a functional module framework device adopted by the method, belonging to the network safety field. The method comprises initialization of software to be detected and detection standards, preprocessing of preliminary analysis data of the software to be detected, sequential detection according to the single safety defect standard and safety defect grade evaluation, comprehensive processing of the safety defects and detection result storage and data discard. The functional module framework comprises a unit module for carrying out initialization on the software to be detected and the detection standards, a unit module for processing the preliminary analysis data of the software to be detected, a unit module for carrying out detection according to the single safety defect standard and evaluating the safety defect grades, a unit module for carrying out comprehensive processing on the safety defects, a unit module for storing the detection results and discarding the data and a database. The invention can carry out overall detection and comprehensive processing on the safety defects of the software and has the characteristics of wide detection range, strong adaptability to the safety defects of the software, high accuracy and reliability of detection and comprehensive processing results and no special requirements on the functions and properties of the software, etc."
89,CN2008-10106192,Method for testing software reliability," The invention provides a method for testing software reliability. The method comprises the following: step 1, establishing software-reliability test scenes; and step 2, testing software reliability in the software-reliability test scenes. Therefore, on the basis of software test work in general meaning, the method has further expansion and promotion, establishes an independent test-quality evaluation mechanism oriented to reliability innovatively according to production versions, can control production quality more effectively and reduce the production risk and hidden trouble of software product versions by establishing a strict test output-permission evaluation mechanism and utilizing means and methods for testing the production versions. "
90,CN2009-10083997,Method of detecting software process reliability and system of using the same," The present invention discloses a method of detecting software process reliability and a system of using the same, belonging to software engineering field. The method includes following steps: an evidence data acquisition module collecting actual item data in specify software process according to credibility index set; the evidence acquisition module comparing the collected data with the set process credible index baseline and getting metric data; a reliability detecting module providing reliability detecting value of the software under the principle of credibility according to the metric data; credible level of the software process is provided. The system of the invention collects actual item data for choosing credible level automatically in normal software developing process, and using the actual item data as evidence, using baseline data to judge credibility of the item process instead of using experts or appraisers to judge the implementation of the process, which assuring objectivity and creditability of the software process. "
91,CN2008-10154432,Software safety defect library system based on attack mode and management method thereof," The invention discloses a software security defect database system based on an attack mode, which comprises a construction unit of a security defect database, a management unit of the security defect database, and a security defect body. The software security defect database system is characterized in that the construction unit of the security defect database comprises the steps of establishing a mapping from the attack mode to a software defect structure, establishing a mapping from the attack mode to a security defect and a mapping from the security defect to a corresponding alleviation proposal, and constructing the two mappings into a unified model; and the management unit of the security defect database comprises a security defect information acquisition module and a security defect information classification module, wherein information acquisition is based on WEB subject mining technology, and defect classification is based on body technology. The software security defect database system simultaneously combines external attack mode analysis and a security-oriented software development cycle to construct a security defect database model, so as to reduce security defects of software products and improve the quality of software, thereby the software security defect database system meets different demands on software security defect examples in different stages and can be used for supporting the data service of the security defect model. "
92,CN2007-10064155,Software safety code analyzer based on static analysis of source code and testing method therefor,"This invention relates to one software analyzer and its test method based on source codes static analysis, wherein the analysis device comprises five function modules of code analysis device, codes analysis engine, safety risk report device, safety rules database and user interface; this invention gets programs safety risk to user according to the source program and grammar and meanings and delivers the safety leak to the user for audit and evaluation."
93,CN2008-10111991,Method for promoting software protector safety," The invention provides a method for improving the safety of a software protection device, and particularly, by controlling the flow of writing data and/or codes to a function module, the method ensures that the original content is cleared before the function module is written, therefore the data and/or codes in the function module can be attacked by the codes which are written later. The method improves the safety of the software protection device. "
94,CN2008-10116038,Software element reliability evaluation method and system,"The invention discloses a software component reliability assessment method and a system thereof. The aim of user-oriented component reliability assessment is established by customizing a software component reliability describing template; the reliability describing template is provided with the credence attributes of the software component; the evidence information corresponding to the credence attributes of the software component is obtained from a component library system; the reliability of the software component is assessed according to the evidence information so as to obtain the reliability of the software component. The method of the invention obtains the evidence information based on the software component reliability describing template and the credibility value of the component on each credence attribute according to the evidence information, and then integrates the credibility value to assess the reliability of the software component, so that the reliability of the software component has strong pertinence, practicality and environmental adaptability. At the same time, the method facilitates the software component library management and the user search."
95,CN2008-10101709,Method for performing safety controllable remote upgrade for software protecting device,"The invention provides a safe and controlled remote update method for a software protection device, the method is as follows: control information of a function module update pack is arranged at the terminal of a server and a new function module is obtained; the new function module is encrypted after the control information and the new function module are calculated to obtain calibration information, or after the new function module is encrypted, the control information and the encrypted new function module are calculated to obtain the calibration information; and then the control information, the encrypted new function module and the calibration information are combined to form the function module update pack which is sent to the software protection device; the software protection device check the control information in the received function module update pack, the new function module is obtained after decrypting, the calibration information in the update pack is validated according to the control information and the new function module, and the own update can be performed through using the new function module if the validation is passed. The function module in the function module update pack of the safe and controlled remote update method for a software protection device is all cryptograph in the transmission process, thus the safe and controlled remote update for the software protection device is effectively realized."
96,CN2008-10066536,Method and apparatus for protecting software program safety in MCU,"The invention provides a method and a device for protecting software program security in MCU, applicable to the security encryption field. The method is as follows: encrypted data information is sent to a master MCU from a MCU; the master MCU receives the encrypted data information and feeds back decrypted information to a slave MCU; and the slave MCU receives the decrypted information and determines whether the master MCU is allowed to continue to work or not according to the decrypted information. In the embodiment of the method and the device for protecting software program security in MCU, through adopting the master MCU and the slave MCU and utilizing the communication between the two MCUs, the cryptographic protocol is completed to protect the software program in the MCU chip from being lawlessly cracked or copied."
97,CN2006-10016987,Electronic government affairs software product stamped with iris watermark seal for tracking divulgence and safety," The data safety of transferring files with cachet stamped relates three questions, i.e. the false cachet, the leakage tracing and the data integrality of files/ cachet picture. Three methods are respectively adopted to offer protection: (1) Preventing the cachet from false: Beside cachet picture, the iris coding of the file issuer, the file serial number and the file hashing code are added. (2) Tracing after leakage: Beside cachet picture, the iris coding of the file reader is added. (3) Data integrality: there is in Encryption a formatted precise scheme, which joints the file data flow and the cachet picture data flow into a unified data flow and select a algorism scheme from Encryption to protect the whole data flow. The former two items are the contents to be protected while the third item is not. But it right is when it is treated as a ring of the data safety of file transferring. "
98,CN2006-10081572,Safety network game software," The invention discloses a safe network game software, which is characterized by the following: making participant set his own predicting information, participating information and paying information according to the progressive condition and game regulation of broadcast content continuously in the digital broadcast channel or network channel on the hardware equipment of game operating software within the scale; transmitting the intelligent key with only one identifying number to the game service center at coding pattern; using service center to supply corresponding compensating service. The invention also provides an automatic network game software, which can make user participate and complete in the game according to the setting. "
99,CN2007-10091551,Method and system for setting safety parameter in software application,"Provided is a method for defining security permissions in a computer application in a manner that distributes the assignment of security permissions among multiple levels of the software development and delivery process. A developer defines the permissions for a particular application as metadata and saves the permissions in a permissions metadata file stored in conjunction with the application. A signer inspects the application and permissions file and, if satisfied that the appropriate permission levels in the file have been properly set, validates, or ''signs,'' the application. Once a signer has validated, or signed, the permissions in the application and the permissions file, the application is deployed, or provided to a user who installs the application on a computing system with the maximum permissions allowed under the permissions file. The user can further limit the scope of the permissions granted by the developer by adding a policy file to the application."
100,CN2005-10134079,Software protecting method and system based on safety chip,"This invention has publicized a method basing on the safe CMOS chip to protect software. The following steps are included: firstly, the cell needing to be protected will be confirmed from software at least, each of which contains several cells. Secondly, the cell above will be translated and edited into the aim files executable by the safe CMOS chip. Thirdly, the aim file will be encrypted by the symmetrical key corresponding to the every software to produce the cryptograph cell. And then a function to transfer the safe CMOS chip will be set aim at the above files, and the cryptograph cell will be taken as the parameter of the function. The cells needing to be protected in software will be displaced by the function, and the cryptograph cell will be added to corresponding software. We can used this installation to avoid the software be deciphered and used illegally, and it is effective to the deciphered technology for the counter-translation and memory copy."
101,CN2006-20001988,Software product producing safety control device,
102,CN2006-10078622,Computer safety protective method based on software identity identifying technology,"The present invention relates to computer security technology, and is a client end computer security protecting mechanism established around the certificating server based on software identity certification. The present invention includes: 1. establishing security certificating database with the unique flag code as ID; 2. establishing certificating server for providing software security certificating function with the security certificating database as kernel; 3. establishing security policy for limiting the software running in the client end; 4. monitoring the client end computer and extracting the unique ID and submitting it to the certificating server before starting the executable file; 5. inquiring the security certificating database with the certificating server and feeding back the corresponding security information to the client end computer; and 6. the client end computer judging whether to execute the software. Compared with traditional antivirus method, the present invention has more wide protection."
103,CN2004-10061406,Distribution type software reliability evaluation system having time restraint,"The invention relates to a distributed software reliability evaluating system with time constraint, comprising of reliability evaluator on the main control terminal, simulator on each node machine in the distributed system and distribution software simulator. The reliability evaluator is used for receiving configuration file and doing original configuration, controlling simulation of simulator to the node machine; the simulator is used to received test information sent from the reliability evaluator, and executable program and data file from the simulator of the distributed software; the simulator of the distributed software is generating program in program listing and data file in file program listing and distributing them with random to simulator of node machine."
104,CN2004-80025365,Integrated electronic signatures for approval of process control and safety system software objects,"A software object approval system is integrated with a process control or safety system environment and, in particular, with a process control or safety system design environment to implement and manage electronic approval of new software objects created within the process control and safety system environment. The software object approval system electronically generates identification information representing a group of entities whose approval is needed prior to implementing a software object within the process control or safety system. The system may then send the software object to the entities and receive from each entity an electronic indication regarding approval of the software object. The approval system prevents the process control or safety system from implementing the software object until each entity within the group of entities approves the software object."
105,CN2006-10002399,Safety control device and control method for production of software products,"The invention relates to a control device for software product safety, which can ensure the product process cannot continue whiteout the control device self. The opposite control method is variable with security level can be customed to prevent the leakage or the protected code and unauthentic product for the encipher lock. Wherein, the data can not be copied into the encipher lock, and the product quantity also limited by developer."
106,CN2003-10021901,Communication safety control method of distribution type software system,"Combining address verification, asymmetric cipher key verification with symmetrical cipher key verification solves diverse issues, including security and integrity of transmission data as well as identity authentication between two parties in communication, faced by inside of distributed software system fully and reliably. The method is applicable to dedicated network as well as public network with low cost. Modules needed for asymmetric cipher key verification are integrated inside system. Safety communication control of modules inside system is not dependent on any peripheral system. Direct communication between modules inside system and external system can be realized in distributed system of using the method through expanded configuration. Thus, safety communication control is implemented between modules inside system as well as between current system and external system."
107,CN2005-10042875,Method for raising reliability of software system based on strucural member," Under condition that JToneFrame application server cluster with multiple nodes does not stop service, using strategy of distributed load allocation, the disclosed method can realize following functions: loading and deleting node in cluster dynamically; supporting horizontal and vertical segmentation; balancing EJB container loads in object level and method level; cluster of supporting non state conversation Bean, state conversation Bean and entity Bean. In the invention, there is no possibility of single nonserviceable point; load divider is not self-existent, and load divider is as a module of each node. Thus, the invention solves issue of centeralization, and allocates requests to each node dispersedly. "
108,CN2005-10011549,Software reliability estimation method based on expanded Markov-Bayesian network," This invention relates to software reliability estimation method based on the expanded Markov Bayesian net, which comprises the following steps: a, dividing the software input field into several sub field according to software function structure; b, initialization: establishing the expanded Markov Bayesian net including nodes such as defect density, operating section, software test data and software fiduciary level, and confirming each node prior distribution; c, processing software test to acquire software failure data; d, estimating software reliability by Bayesian net theory; e, changing the step ¢®¡Æg¢®¡¾ if certain stopping rule is satisfied, or changing the step ¢®¡Æf¢®¡¾ f, advancing Bayesian net by dynamic evolution, and changing the step ¢®¡Æc¢®¡¾ ; g, outputting the result. "
109,CN2003-10060231,Product image designing method of network equipment supporting software safety on line upgrade,"On the basis of the on-line programming power of network processor and the on-line security mechanism of software, the VxWorks product map supporting the on-line upgrade of software is configured for the network device based on network processor IXP1200 and VxWorks operating system. It can support the multi-CPU network processor and on-line upgrade of software, fully use the programming power of the network processor, and ensure the software security."
110,CN2004-10061406,Distribution type software reliability evaluation system having time restraint," The invention relates to a distributed software reliability evaluating system with time constraint, comprising of reliability evaluator on the main control terminal, simulator on each node machine in the distributed system and distribution software simulator. The reliability evaluator is used for receiving configuration file and doing original configuration, controlling simulation of simulator to the node machine; the simulator is used to received test information sent from the reliability evaluator, and executable program and data file from the simulator of the distributed software; the simulator of the distributed software is generating program in program listing and data file in file program listing and distributing them with random to simulator of node machine. "
111,CN2004-10067248,Method and appts for controlling safety updating of software of tax register," Before carrying out operation for downloading software, tax control cashing machine must validate safety code provided through other carrier media. Based on characteristic parameters of each cashing machine such as code of machine in uniqueness, safety code of digital signature obtained through asymmetry encrypting calculation is stored in intelligent card sold with the cashing machine. Before updating software being down loaded, id authentication is carried out for intelligent card, then authentication of safety code is carried out. If decrypting code obtained through asymmetry decrypting calculation is equal to stored code in machine, the tax control cashing-machine is allowed to down load software updated. The invention raises safety and reliability of down loading updating software from tax control cashing machine. "
112,CN2003-10021901,Communication safety control method of distribution type software system,"Combining address verification, asymmetric cipher key verification with symmetrical cipher key verification solves diverse issues, including security and integrity of transmission data as well as identity authentication between two parties in communication, faced by inside of distributed software system fully and reliably. The method is applicable to dedicated network as well as public network with low cost. Modules needed for asymmetric cipher key verification are integrated inside system. Safety communication control of modules inside system is not dependent on any peripheral system. Direct communication between modules inside system and external system can be realized in distributed system of using the method through expanded configuration. Thus, safety communication control is implemented between modules inside system as well as between current system and external system."
113,CN0312-1901,Communication safety control method of distribution type software system," Combining address verification, asymmetric cipher key verification with symmetrical cipher key verification solves diverse issues, including security and integrity of transmission data as well as identity authentication between two parties in communication, faced by inside of distributed software system fully and reliably. The method is applicable to dedicated network as well as public network with low cost. Modules needed for asymmetric cipher key verification are integrated inside system. Safety communication control of modules inside system is not dependent on any peripheral system. Direct communication between modules inside system and external system can be realized in distributed system of using the method through expanded configuration. Thus, safety communication control is implemented between modules inside system as well as between current system and external system. "
114,CN2001-00143904,Method for debugging and testing mobile communication device software in safety environment,"A developer (102) develops a software application (204) which needs to be tested or debugged, or both. To eliminate the need to either intentionally compromise the security environment of the target portable device, or having to request a certificate for each version of the software under development, the developer obtains a development certificate (208). The development certificate includes a device identifier unique to the particular portable device on which the software is to be tested, and some development parameter. The target device uses these two pieces of data to determine if the software is valid, and executable. The developer signs the software with the development certificate, and then loads the signed software onto the target device, which then authenticates the developer's signature and development certificate."
115,CN2003-10060231,Product image designing method of network equipment supporting software safety on line upgrade,"On the basis of the on-line programming power of network processor and the on-line security mechanism of software, the VxWorks product map supporting the on-line upgrade of software is configured for the network device based on network processor IXP1200 and VxWorks operating system. It can support the multi-CPU network processor and on-line upgrade of software, fully use the programming power of the network processor, and ensure the software security."
